,Country,Metric Scope,Metric Name,Value
2892,Lebanon Palestinian rebels*,Import,Ground Vehicles/Artillery,0.046739352123409274
2893,Lebanon Palestinian rebels*,Export,Ground Vehicles/Artillery,0.0
2894,Lebanon Palestinian rebels*,Overall,Ground Vehicles/Artillery,0.047
2895,Lesotho,Import,Ground Vehicles/Artillery,0.0032632565846162117
2896,Lesotho,Export,Ground Vehicles/Artillery,0.0
2897,Lesotho,Overall,Ground Vehicles/Artillery,0.003
2898,Liberia,Import,Ground Vehicles/Artillery,0.02202698194615943
2899,Liberia,Export,Ground Vehicles/Artillery,0.0
2900,Liberia,Overall,Ground Vehicles/Artillery,0.022000000000000002
2901,Libya,Import,Ground Vehicles/Artillery,16.074343040362248
2902,Libya,Export,Ground Vehicles/Artillery,0.3490270785140835
2903,Libya,Overall,Ground Vehicles/Artillery,16.423
2904,Libya GNC,Import,Ground Vehicles/Artillery,0.009840758137983264
2905,Libya GNC,Export,Ground Vehicles/Artillery,0.0
2906,Libya GNC,Overall,Ground Vehicles/Artillery,0.01
2907,Libya HoR*,Import,Ground Vehicles/Artillery,0.079014999280629
2908,Libya HoR*,Export,Ground Vehicles/Artillery,0.0004565497273762817
2909,Libya HoR*,Overall,Ground Vehicles/Artillery,0.079
2910,Lithuania,Import,Ground Vehicles/Artillery,1.5436053451636926
2911,Lithuania,Export,Ground Vehicles/Artillery,0.006972759472655939
2912,Lithuania,Overall,Ground Vehicles/Artillery,1.551
2913,Luxembourg,Import,Ground Vehicles/Artillery,0.06201887123575289
2914,Luxembourg,Export,Ground Vehicles/Artillery,0.0
2915,Luxembourg,Overall,Ground Vehicles/Artillery,0.062
2916,Madagascar,Import,Ground Vehicles/Artillery,0.018491787312825202
2917,Madagascar,Export,Ground Vehicles/Artillery,0.0
2918,Madagascar,Overall,Ground Vehicles/Artillery,0.018000000000000002
2919,Malawi,Import,Ground Vehicles/Artillery,0.046569390842960516
2920,Malawi,Export,Ground Vehicles/Artillery,0.0
2921,Malawi,Overall,Ground Vehicles/Artillery,0.047
2922,Malaysia,Import,Ground Vehicles/Artillery,2.191276796569786
2923,Malaysia,Export,Ground Vehicles/Artillery,0.0
2924,Malaysia,Overall,Ground Vehicles/Artillery,2.191
2925,Maldives,Import,Ground Vehicles/Artillery,0.003994090090545885
2926,Maldives,Export,Ground Vehicles/Artillery,0.0
2927,Maldives,Overall,Ground Vehicles/Artillery,0.004
2928,Mali,Import,Ground Vehicles/Artillery,0.24193988271881128
2929,Mali,Export,Ground Vehicles/Artillery,0.0
2930,Mali,Overall,Ground Vehicles/Artillery,0.242
2931,Mauritania,Import,Ground Vehicles/Artillery,0.21387927531672088
2932,Mauritania,Export,Ground Vehicles/Artillery,0.0
2933,Mauritania,Overall,Ground Vehicles/Artillery,0.214
2934,Mauritius,Import,Ground Vehicles/Artillery,0.006288567376604157
2935,Mauritius,Export,Ground Vehicles/Artillery,0.0
2936,Mauritius,Overall,Ground Vehicles/Artillery,0.006
2937,Mexico,Import,Ground Vehicles/Artillery,0.6427425742730796
2938,Mexico,Export,Ground Vehicles/Artillery,0.0
2939,Mexico,Overall,Ground Vehicles/Artillery,0.643
2940,Moldova,Import,Ground Vehicles/Artillery,0.04126659889295917
2941,Moldova,Export,Ground Vehicles/Artillery,0.0022827486368814085
2942,Moldova,Overall,Ground Vehicles/Artillery,0.044000000000000004
2943,Mongolia,Import,Ground Vehicles/Artillery,2.4627729459586365
2944,Mongolia,Export,Ground Vehicles/Artillery,0.0
2945,Mongolia,Overall,Ground Vehicles/Artillery,2.463
2946,Montenegro,Import,Ground Vehicles/Artillery,0.02411750569567919
2947,Montenegro,Export,Ground Vehicles/Artillery,0.024788574970498568
2948,Montenegro,Overall,Ground Vehicles/Artillery,0.049
2949,Morocco,Import,Ground Vehicles/Artillery,7.3415794857525
2950,Morocco,Export,Ground Vehicles/Artillery,0.049680911242673556
2951,Morocco,Overall,Ground Vehicles/Artillery,7.391
2952,Mozambique,Import,Ground Vehicles/Artillery,0.3907919721358362
2953,Mozambique,Export,Ground Vehicles/Artillery,0.0
2954,Mozambique,Overall,Ground Vehicles/Artillery,0.391
2955,Mujahedin (Afghanistan)*,Import,Ground Vehicles/Artillery,0.042490320112190255
2956,Mujahedin (Afghanistan)*,Export,Ground Vehicles/Artillery,0.0
2957,Mujahedin (Afghanistan)*,Overall,Ground Vehicles/Artillery,0.042
2958,Myanmar,Import,Ground Vehicles/Artillery,2.437210769379143
2959,Myanmar,Export,Ground Vehicles/Artillery,0.0
2960,Myanmar,Overall,Ground Vehicles/Artillery,2.437
2961,NTC (Libya)*,Import,Ground Vehicles/Artillery,0.0005438760974360351
2962,NTC (Libya)*,Export,Ground Vehicles/Artillery,0.0
2963,NTC (Libya)*,Overall,Ground Vehicles/Artillery,0.001
2964,Namibia,Import,Ground Vehicles/Artillery,0.0332104341996879
2965,Namibia,Export,Ground Vehicles/Artillery,0.0
2966,Namibia,Overall,Ground Vehicles/Artillery,0.033
2967,Nepal,Import,Ground Vehicles/Artillery,0.1046791526283919
2968,Nepal,Export,Ground Vehicles/Artillery,0.0
2969,Nepal,Overall,Ground Vehicles/Artillery,0.105
2970,Netherlands,Import,Ground Vehicles/Artillery,10.828437130927101
2971,Netherlands,Export,Ground Vehicles/Artillery,1.5412081183206505
2972,Netherlands,Overall,Ground Vehicles/Artillery,12.370000000000001
2973,New Zealand,Import,Ground Vehicles/Artillery,0.4996181800071778
2974,New Zealand,Export,Ground Vehicles/Artillery,0.006215301970418017
2975,New Zealand,Overall,Ground Vehicles/Artillery,0.506
2976,Nicaragua,Import,Ground Vehicles/Artillery,0.459405341053001
2977,Nicaragua,Export,Ground Vehicles/Artillery,0.0
2978,Nicaragua,Overall,Ground Vehicles/Artillery,0.459
2979,Niger,Import,Ground Vehicles/Artillery,0.13834848228529145
2980,Niger,Export,Ground Vehicles/Artillery,0.0
2981,Niger,Overall,Ground Vehicles/Artillery,0.13799999999999998
2982,Nigeria,Import,Ground Vehicles/Artillery,2.9359451507279877
2983,Nigeria,Export,Ground Vehicles/Artillery,0.002594032541910691
2984,Nigeria,Overall,Ground Vehicles/Artillery,2.939
2985,North Korea,Import,Ground Vehicles/Artillery,11.535883964667024
2986,North Korea,Export,Ground Vehicles/Artillery,0.5400931394210574
2987,North Korea,Overall,Ground Vehicles/Artillery,12.076
2988,North Macedonia,Import,Ground Vehicles/Artillery,0.3074769524598535
2989,North Macedonia,Export,Ground Vehicles/Artillery,0.01618676306152271
2990,North Macedonia,Overall,Ground Vehicles/Artillery,0.32399999999999995
2991,North Yemen,Import,Ground Vehicles/Artillery,1.464250423322166
2992,North Yemen,Export,Ground Vehicles/Artillery,0.0
2993,North Yemen,Overall,Ground Vehicles/Artillery,1.464
2994,Northern Alliance (Afghanistan)*,Import,Ground Vehicles/Artillery,0.3153461597446312
2995,Northern Alliance (Afghanistan)*,Export,Ground Vehicles/Artillery,0.0
2996,Northern Alliance (Afghanistan)*,Overall,Ground Vehicles/Artillery,0.315
2997,Norway,Import,Ground Vehicles/Artillery,2.5923004377886376
2998,Norway,Export,Ground Vehicles/Artillery,0.7605132725722927
2999,Norway,Overall,Ground Vehicles/Artillery,3.3529999999999998
3000,Oman,Import,Ground Vehicles/Artillery,1.4020106024218297
3001,Oman,Export,Ground Vehicles/Artillery,0.0004357974670409962
3002,Oman,Overall,Ground Vehicles/Artillery,1.402
3003,PLO (Israel)*,Import,Ground Vehicles/Artillery,0.0492887713301407
3004,PLO (Israel)*,Export,Ground Vehicles/Artillery,0.0
3005,PLO (Israel)*,Overall,Ground Vehicles/Artillery,0.049
3006,Pakistan,Import,Ground Vehicles/Artillery,20.171463659116167
3007,Pakistan,Export,Ground Vehicles/Artillery,0.012907905928547599
3008,Pakistan,Overall,Ground Vehicles/Artillery,20.183999999999997
3009,Palestine,Import,Ground Vehicles/Artillery,0.015636437801286013
3010,Palestine,Export,Ground Vehicles/Artillery,0.0
3011,Palestine,Overall,Ground Vehicles/Artillery,0.016
3012,Panama,Import,Ground Vehicles/Artillery,0.024559405024845965
3013,Panama,Export,Ground Vehicles/Artillery,0.0
3014,Panama,Overall,Ground Vehicles/Artillery,0.025
3015,Papua New Guinea,Import,Ground Vehicles/Artillery,0.0027193804871801764
3016,Papua New Guinea,Export,Ground Vehicles/Artillery,0.0
3017,Papua New Guinea,Overall,Ground Vehicles/Artillery,0.003
3018,Paraguay,Import,Ground Vehicles/Artillery,0.06395642983286877
3019,Paraguay,Export,Ground Vehicles/Artillery,0.0
3020,Paraguay,Overall,Ground Vehicles/Artillery,0.064
3021,Pathet Lao (Laos)*,Import,Ground Vehicles/Artillery,0.0008158141461540529
3022,Pathet Lao (Laos)*,Export,Ground Vehicles/Artillery,0.0
3023,Pathet Lao (Laos)*,Overall,Ground Vehicles/Artillery,0.001
3024,Peru,Import,Ground Vehicles/Artillery,1.793788349984269
3025,Peru,Export,Ground Vehicles/Artillery,0.0
3026,Peru,Overall,Ground Vehicles/Artillery,1.794
3027,Philippines,Import,Ground Vehicles/Artillery,0.6154467926330085
3028,Philippines,Export,Ground Vehicles/Artillery,0.0
3029,Philippines,Overall,Ground Vehicles/Artillery,0.615
3030,Poland,Import,Ground Vehicles/Artillery,29.48384616844032
3031,Poland,Export,Ground Vehicles/Artillery,1.4163417678832373
3032,Poland,Overall,Ground Vehicles/Artillery,30.9
3033,Portugal,Import,Ground Vehicles/Artillery,1.0168953370529819
3034,Portugal,Export,Ground Vehicles/Artillery,0.014557710625202799
3035,Portugal,Overall,Ground Vehicles/Artillery,1.031
3036,Qatar,Import,Ground Vehicles/Artillery,1.9223300663876663
3037,Qatar,Export,Ground Vehicles/Artillery,0.013291822744750383
3038,Qatar,Overall,Ground Vehicles/Artillery,1.936
3039,Romania,Import,Ground Vehicles/Artillery,5.458119564203467
3040,Romania,Export,Ground Vehicles/Artillery,0.13695454208271685
3041,Romania,Overall,Ground Vehicles/Artillery,5.595
3042,Russia,Import,Ground Vehicles/Artillery,0.09293482814938252
3043,Russia,Export,Ground Vehicles/Artillery,13.60325191560201
3044,Russia,Overall,Ground Vehicles/Artillery,13.696
3045,Rwanda,Import,Ground Vehicles/Artillery,0.19469064675405576
3046,Rwanda,Export,Ground Vehicles/Artillery,0.0
3047,Rwanda,Overall,Ground Vehicles/Artillery,0.19499999999999998
3048,SLA (Lebanon)*,Import,Ground Vehicles/Artillery,0.07675451425066046
3049,SLA (Lebanon)*,Export,Ground Vehicles/Artillery,0.0
3050,SLA (Lebanon)*,Overall,Ground Vehicles/Artillery,0.077
3051,Saudi Arabia,Import,Ground Vehicles/Artillery,22.310256412283376
3052,Saudi Arabia,Export,Ground Vehicles/Artillery,0.028357963748167684
3053,Saudi Arabia,Overall,Ground Vehicles/Artillery,22.339000000000002
3054,Senegal,Import,Ground Vehicles/Artillery,0.3390217661111436
3055,Senegal,Export,Ground Vehicles/Artillery,0.0
3056,Senegal,Overall,Ground Vehicles/Artillery,0.33899999999999997
3057,Serbia,Import,Ground Vehicles/Artillery,0.45991522489434733
3058,Serbia,Export,Ground Vehicles/Artillery,0.21017889267577186
3059,Serbia,Overall,Ground Vehicles/Artillery,0.67
3060,Seychelles,Import,Ground Vehicles/Artillery,0.0032972488407059636
3061,Seychelles,Export,Ground Vehicles/Artillery,0.0004669258575439244
3062,Seychelles,Overall,Ground Vehicles/Artillery,0.004
3063,Sierra Leone,Import,Ground Vehicles/Artillery,0.021279152312184878
3064,Sierra Leone,Export,Ground Vehicles/Artillery,0.0
3065,Sierra Leone,Overall,Ground Vehicles/Artillery,0.021
3066,Singapore,Import,Ground Vehicles/Artillery,2.6820229977375383
3067,Singapore,Export,Ground Vehicles/Artillery,0.04783396007283315
3068,Singapore,Overall,Ground Vehicles/Artillery,2.73
3069,Slovakia,Import,Ground Vehicles/Artillery,0.23624617982377782
3070,Slovakia,Export,Ground Vehicles/Artillery,0.3598701345392702
3071,Slovakia,Overall,Ground Vehicles/Artillery,0.596
3072,Slovenia,Import,Ground Vehicles/Artillery,0.16474346913898408
3073,Slovenia,Export,Ground Vehicles/Artillery,0.02127106684366767
3074,Slovenia,Overall,Ground Vehicles/Artillery,0.186
3075,Somalia,Import,Ground Vehicles/Artillery,1.0712999429246304
3076,Somalia,Export,Ground Vehicles/Artillery,0.0
3077,Somalia,Overall,Ground Vehicles/Artillery,1.0710000000000002
3078,South Africa,Import,Ground Vehicles/Artillery,2.3818373842089366
3079,South Africa,Export,Ground Vehicles/Artillery,1.0968140274357623
3080,South Africa,Overall,Ground Vehicles/Artillery,3.479
3081,South Korea,Import,Ground Vehicles/Artillery,15.16025728185272
3082,South Korea,Export,Ground Vehicles/Artillery,6.18200496871005
3083,South Korea,Overall,Ground Vehicles/Artillery,21.342
3084,South Sudan,Import,Ground Vehicles/Artillery,0.22353307604621045
3085,South Sudan,Export,Ground Vehicles/Artillery,0.0
3086,South Sudan,Overall,Ground Vehicles/Artillery,0.22399999999999998
3087,South Vietnam,Import,Ground Vehicles/Artillery,2.067018104433697
3088,South Vietnam,Export,Ground Vehicles/Artillery,0.0
3089,South Vietnam,Overall,Ground Vehicles/Artillery,2.067
3090,South Yemen,Import,Ground Vehicles/Artillery,2.548909322890069
3091,South Yemen,Export,Ground Vehicles/Artillery,0.0
3092,South Yemen,Overall,Ground Vehicles/Artillery,2.549
3093,Southern rebels (Yemen)*,Import,Ground Vehicles/Artillery,0.08056164693271271
3094,Southern rebels (Yemen)*,Export,Ground Vehicles/Artillery,0.0
3095,Southern rebels (Yemen)*,Overall,Ground Vehicles/Artillery,0.08099999999999999
3096,Soviet Union,Import,Ground Vehicles/Artillery,8.129418005144688
3097,Soviet Union,Export,Ground Vehicles/Artillery,56.99999999999999
3098,Soviet Union,Overall,Ground Vehicles/Artillery,65.129
3099,Spain,Import,Ground Vehicles/Artillery,5.811927961713652
3100,Spain,Export,Ground Vehicles/Artillery,0.28272360674284625
3101,Spain,Overall,Ground Vehicles/Artillery,6.095
3102,Sri Lanka,Import,Ground Vehicles/Artillery,0.6583620159463207
3103,Sri Lanka,Export,Ground Vehicles/Artillery,0.0
3104,Sri Lanka,Overall,Ground Vehicles/Artillery,0.658
3105,Sudan,Import,Ground Vehicles/Artillery,1.9743892065891222
3106,Sudan,Export,Ground Vehicles/Artillery,0.0
3107,Sudan,Overall,Ground Vehicles/Artillery,1.974
3108,Suriname,Import,Ground Vehicles/Artillery,0.014599673990548569
3109,Suriname,Export,Ground Vehicles/Artillery,0.0
3110,Suriname,Overall,Ground Vehicles/Artillery,0.015
3111,Sweden,Import,Ground Vehicles/Artillery,2.32510430879514
3112,Sweden,Export,Ground Vehicles/Artillery,1.3008139345967031
3113,Sweden,Overall,Ground Vehicles/Artillery,3.626
3114,Switzerland,Import,Ground Vehicles/Artillery,5.029324249759287
3115,Switzerland,Export,Ground Vehicles/Artillery,2.0670600190866186
3116,Switzerland,Overall,Ground Vehicles/Artillery,7.095999999999999
3117,Syria,Import,Ground Vehicles/Artillery,24.871980815719283
3118,Syria,Export,Ground Vehicles/Artillery,0.18763156182148413
3119,Syria,Overall,Ground Vehicles/Artillery,25.06
3120,Syria rebels*,Import,Ground Vehicles/Artillery,0.0050648461573730786
3121,Syria rebels*,Export,Ground Vehicles/Artillery,0.0
